agency,site,date_time,qual_code,timezone,flow,wuql_code,comments
USGS,conoco,2017-08-22,A,EST,142,NA,NA
USGS,conoco,2017-08-23,A,EST,105,NA,NA
USGS,conoco,2017-08-24,A,EST,97,NA,NA
USGS,conoco,2017-08-25,A,EST,151,NA,NA
USGS,conoco,2017-08-26,A,EST,168,NA,NA
USGS,conoco,2017-08-27,A,EST,168,NA,NA
USGS,conoco,2017-08-28,A,EST,148,NA,NA
USGS,conoco,2017-08-29,A,EST,133,NA,NA
USGS,conoco,2017-08-30,A,EST,114,NA,NA
USGS,conoco,2017-08-31,A,EST,100,NA,NA
USGS,conoco,2017-09-01,A,EST,93,NA,NA
USGS,goose,2017-05-01,A,EST,152,NA,NA
USGS,goose,2017-05-02,A,EST,142,NA,NA
USGS,goose,2017-05-03,A,EST,135,NA,NA
USGS,goose,2017-05-04,A,EST,137,NA,NA
USGS,goose,2017-05-05,A,EST,132,NA,NA
USGS,goose,2017-05-06,A,EST,124,NA,NA
USGS,goose,2017-05-07,A,EST,124,NA,NA
USGS,goose,2017-05-08,A,EST,214,NA,NA
USGS,goose,2017-05-09,A,EST,259,NA,NA
USGS,goose,2017-05-10,A,EST,158,NA,NA
USGS,goose,2017-05-11,A,EST,127,NA,NA
USGS,goose,2017-05-12,A,EST,114,NA,NA
USGS,goose,2017-05-13,A,EST,105,NA,NA
USGS,goose,2017-05-14,A,EST,100,NA,NA
USGS,goose,2017-05-15,A,EST,97,NA,NA
USGS,goose,2017-05-16,A,EST,91,NA,NA
USGS,goose,2017-05-17,A,EST,86,NA,NA
USGS,goose,2017-05-18,A,EST,84,NA,NA
USGS,goose,2017-05-19,A,EST,82,NA,NA
USGS,goose,2017-05-20,A,EST,78,NA,NA
USGS,goose,2017-05-21,A,EST,72,NA,NA
USGS,goose,2017-05-22,A,EST,71,NA,NA
USGS,goose,2017-05-23,A,EST,128,NA,NA
USGS,goose,2017-05-24,A,EST,172,NA,NA
USGS,goose,2017-05-25,A,EST,136,NA,NA
USGS,goose,2017-05-26,A,EST,94,NA,NA
USGS,goose,2017-05-27,A,EST,78,NA,NA
USGS,goose,2017-05-28,A,EST,69,NA,NA
USGS,goose,2017-05-29,A,EST,63,NA,NA
USGS,goose,2017-05-30,A,EST,59,NA,NA
USGS,goose,2017-05-31,A,EST,55,NA,NA
USGS,goose,2017-06-01,A,EST,52,NA,NA
USGS,goose,2017-06-02,A,EST,50,NA,NA
USGS,goose,2017-06-03,A,EST,45,NA,NA
USGS,goose,2017-06-04,A,EST,40,NA,NA
USGS,goose,2017-06-05,A,EST,36,NA,NA
USGS,goose,2017-06-06,A,EST,33,NA,NA
USGS,goose,2017-06-07,A,EST,29,NA,NA
USGS,goose,2017-06-08,A,EST,27,NA,NA
USGS,goose,2017-06-09,A,EST,23,NA,NA
USGS,goose,2017-06-10,A,EST,21,NA,NA
USGS,goose,2017-06-11,A,EST,18,NA,NA
USGS,goose,2017-06-12,A,EST,17,NA,NA
USGS,goose,2017-06-13,A,EST,16,NA,NA
USGS,goose,2017-06-14,A,EST,18,NA,NA
USGS,goose,2017-06-15,A,EST,26,NA,NA
USGS,goose,2017-06-16,A,EST,22,NA,NA
USGS,goose,2017-06-17,A,EST,19,NA,NA
USGS,goose,2017-06-18,A,EST,20,NA,NA
USGS,goose,2017-06-19,A,EST,19,NA,NA
USGS,goose,2017-06-20,A,EST,20,NA,NA
USGS,goose,2017-06-21,A,EST,24,NA,NA
USGS,goose,2017-06-22,A,EST,26,NA,NA
USGS,goose,2017-06-23,A,EST,23,NA,NA
USGS,goose,2017-06-24,A,EST,20,NA,NA
USGS,goose,2017-06-25,A,EST,17,NA,NA
USGS,goose,2017-06-26,A,EST,15,NA,NA
USGS,goose,2017-06-27,A,EST,13,NA,NA
USGS,goose,2017-06-28,A,EST,13,NA,NA
USGS,goose,2017-06-29,A,EST,20,NA,NA
USGS,goose,2017-06-30,A,EST,23,NA,NA
USGS,goose,2017-07-01,A,EST,16,NA,NA
USGS,goose,2017-07-02,A,EST,13,NA,NA
USGS,goose,2017-07-03,A,EST,13,NA,NA
USGS,goose,2017-07-04,A,EST,14,NA,NA
USGS,goose,2017-07-05,A,EST,10,NA,NA
USGS,goose,2017-07-06,A,EST,8.9,NA,NA
USGS,goose,2017-07-07,A,EST,7.1,NA,NA
USGS,goose,2017-07-08,A,EST,6,NA,NA
USGS,goose,2017-07-09,A,EST,4.8,NA,NA
USGS,goose,2017-07-10,A,EST,4.6,NA,NA
USGS,goose,2017-07-11,A,EST,4.3,NA,NA
USGS,goose,2017-07-12,A,EST,3.4,NA,NA
USGS,goose,2017-07-13,A,EST,3.4,NA,NA
USGS,goose,2017-07-14,A,EST,3,NA,NA
USGS,goose,2017-07-15,A,EST,2.9,NA,NA
USGS,goose,2017-07-16,A,EST,3.2,NA,NA
USGS,goose,2017-07-17,A,EST,2.9,NA,NA
USGS,goose,2017-07-18,A,EST,2.6,NA,NA
USGS,goose,2017-07-19,A,EST,2.3,NA,NA
USGS,goose,2017-07-20,A,EST,2.2,NA,NA
USGS,goose,2017-07-21,A,EST,2.4,NA,NA
USGS,goose,2017-07-22,A,EST,5.4,NA,NA
USGS,goose,2017-07-23,A,EST,3.7,NA,NA
USGS,goose,2017-07-24,A,EST,4.3,NA,NA
USGS,goose,2017-07-25,A,EST,14,NA,NA
USGS,goose,2017-07-26,A,EST,17,NA,NA
USGS,goose,2017-07-27,A,EST,8.6,NA,NA
USGS,goose,2017-07-28,A,EST,5.1,NA,NA
USGS,goose,2017-07-29,A,EST,3.3,NA,NA
USGS,goose,2017-07-30,A,EST,4.1,NA,NA
USGS,goose,2017-07-31,A,EST,4.8,NA,NA
USGS,goose,2017-08-01,A,EST,3.4,NA,NA
USGS,goose,2017-08-02,A,EST,2.8,NA,NA
USGS,goose,2017-08-03,A,EST,2,NA,NA
USGS,goose,2017-08-04,A,EST,1.4,NA,NA
USGS,goose,2017-08-05,A,EST,1,NA,NA
USGS,goose,2017-08-06,A,EST,0.9,NA,NA
USGS,goose,2017-08-07,A,EST,0.78,NA,NA
USGS,goose,2017-08-08,A,EST,0.82,NA,NA
USGS,goose,2017-08-09,A,EST,0.79,NA,NA
USGS,goose,2017-08-10,A,EST,0.66,NA,NA
USGS,goose,2017-08-11,A,EST,0.61,NA,NA
USGS,goose,2017-08-12,A,EST,0.58,NA,NA
USGS,goose,2017-08-13,A,EST,0.55,NA,NA
USGS,goose,2017-08-14,A,EST,1.4,NA,NA
USGS,goose,2017-08-15,A,EST,3.1,NA,NA
USGS,goose,2017-08-16,A,EST,2.4,NA,NA
USGS,goose,2017-08-17,A,EST,2.5,NA,NA
USGS,goose,2017-08-18,A,EST,1.9,NA,NA
USGS,goose,2017-08-19,A,EST,2.7,NA,NA
USGS,goose,2017-08-20,A,EST,2.5,NA,NA
USGS,goose,2017-08-21,A,EST,2,NA,NA
USGS,goose,2017-08-22,A,EST,1.7,NA,NA
USGS,goose,2017-08-23,A,EST,1.7,NA,NA
USGS,goose,2017-08-24,A,EST,1.7,NA,NA
USGS,goose,2017-08-25,A,EST,2,NA,NA
USGS,goose,2017-08-26,A,EST,2.5,NA,NA
USGS,goose,2017-08-27,A,EST,33,NA,NA
USGS,goose,2017-08-28,A,EST,16,NA,NA
USGS,goose,2017-08-29,A,EST,7.2,NA,NA
USGS,goose,2017-08-30,A,EST,5.1,NA,NA
USGS,goose,2017-08-31,A,EST,3.8,NA,NA
USGS,goose,2017-09-01,A,EST,2.9,NA,NA
USGS,mon_jug,2017-05-01,A,EST,475,NA,NA
