date,por2_sim
2017-01-01,5171.35833333333
2017-01-02,5276.7
2017-01-03,6100.79583333333
2017-01-04,7933.77916666667
2017-01-05,9487.41666666667
2017-01-06,11203
2017-01-07,12121.0416666667
2017-01-08,11695.25
2017-01-09,10654.625
2017-01-10,9698.0875
2017-01-11,8959.44583333333
2017-01-12,8511.725
2017-01-13,8688.1125
2017-01-14,10035.6125
2017-01-15,10728.9583333333
2017-01-16,10372.6666666667
2017-01-17,9965.03333333333
2017-01-18,10320.25
2017-01-19,10826.3333333333
2017-01-20,11290.625
2017-01-21,11067.5
2017-01-22,10407.7083333333
2017-01-23,11220.5
2017-01-24,18501.2083333333
2017-01-25,24774.9583333333
2017-01-26,25131
2017-01-27,21746.2083333333
2017-01-28,18489
2017-01-29,16116.6666666667
2017-01-30,14235.3333333333
2017-01-31,12741.4166666667
2017-02-01,11565.875
2017-02-02,10503.7916666667
2017-02-03,9631.5
2017-02-04,9094.85833333333
2017-02-05,8642.4625
2017-02-06,8183.6625
2017-02-07,7722.48333333333
2017-02-08,7335.33333333333
2017-02-09,7529.59583333333
2017-02-10,8544.27916666667
2017-02-11,9734.28333333333
2017-02-12,9988.70833333333
2017-02-13,10228.0833333333
2017-02-14,12037.4166666667
2017-02-15,13702.125
2017-02-16,12745.7916666667
2017-02-17,11243.25
2017-02-18,9875.7875
2017-02-19,8768.8125
2017-02-20,7852.94583333333
2017-02-21,7163.67916666667
2017-02-22,6646.13333333333
2017-02-23,6252.55833333333
2017-02-24,5831.05833333333
2017-02-25,5412.62083333333
2017-02-26,5059.51666666667
2017-02-27,4716.325
2017-02-28,4440.07916666667
2017-03-01,4434.45416666667
2017-03-02,4669.9625
2017-03-03,5580.35416666667
2017-03-04,8344.15416666667
2017-03-05,8559.55416666667
2017-03-06,7525.92916666667
2017-03-07,6702.925
2017-03-08,6195.06666666667
2017-03-09,5855.425
2017-03-10,5779.65
2017-03-11,5987.75833333333
2017-03-12,6131.325
2017-03-13,6097.62916666667
2017-03-14,6033.50833333333
2017-03-15,5705.13333333333
2017-03-16,5343.90833333333
2017-03-17,5072.8
2017-03-18,5260.61666666667
2017-03-19,7555.1125
2017-03-20,11300.1916666667
2017-03-21,13660.6666666667
2017-03-22,12849.8333333333
2017-03-23,11353.125
2017-03-24,10195.8208333333
2017-03-25,9673.36666666667
2017-03-26,9052.19583333333
2017-03-27,8551.6625
2017-03-28,8431.525
2017-03-29,9218.22916666667
2017-03-30,10647.6666666667
2017-03-31,12805.625
2017-04-01,15188.0416666667
2017-04-02,16518.0416666667
2017-04-03,16752.7083333333
2017-04-04,15516.625
2017-04-05,13862.3333333333
2017-04-06,13482.0833333333
2017-04-07,15319.4166666667
2017-04-08,15946
2017-04-09,15574.9166666667
2017-04-10,14224.2083333333
2017-04-11,12644.4583333333
2017-04-12,11183.4583333333
2017-04-13,9893.325
2017-04-14,8825.45833333333
2017-04-15,8020.40416666667
2017-04-16,7331.34583333333
2017-04-17,6807.7125
2017-04-18,6488.05833333333
2017-04-19,6178.1375
2017-04-20,5957.85833333333
2017-04-21,5905.62083333333
2017-04-22,5994.01666666667
2017-04-23,6157.625
2017-04-24,6135.0125
2017-04-25,5888.6625
2017-04-26,5606.1625
2017-04-27,5866
2017-04-28,6541.37083333333
2017-04-29,6377.55
2017-04-30,5741.75416666667
2017-05-01,5081.34166666667
2017-05-02,4478.77083333333
2017-05-03,4169.925
2017-05-04,4615.58333333333
2017-05-05,6264.17916666667
2017-05-06,8526.75
2017-05-07,10260.8625
2017-05-08,11690.375
2017-05-09,11395.7916666667
2017-05-10,11338.9583333333
2017-05-11,11218.875
2017-05-12,10538.125
2017-05-13,9617.45416666667
2017-05-14,8685.36666666667
2017-05-15,7810.1
2017-05-16,7047.0625
2017-05-17,6405.4125
2017-05-18,5863.09166666667
2017-05-19,5318.06666666667
2017-05-20,4856.87916666667
2017-05-21,4478.86666666667
2017-05-22,4193.75833333333
2017-05-23,3903.89166666667
2017-05-24,3835.25
2017-05-25,4426.1
2017-05-26,6111.25833333333
2017-05-27,8431.67916666667
2017-05-28,9577.29166666667
2017-05-29,10445.9166666667
2017-05-30,10680.0416666667
2017-05-31,10657.875
2017-06-01,10510.5833333333
2017-06-02,9985.2
2017-06-03,9262.70416666667
2017-06-04,8480.5875
2017-06-05,7669.275
2017-06-06,6893.40416666667
2017-06-07,6256.25416666667
2017-06-08,5705.22083333333
2017-06-09,5177.95
2017-06-10,4739.95416666667
2017-06-11,4371.2
2017-06-12,4033.87916666667
2017-06-13,3732.025
2017-06-14,3474.47916666667
2017-06-15,3316.07083333333
2017-06-16,3199.9375
2017-06-17,3170.2625
2017-06-18,3381.67083333333
2017-06-19,3806.1875
2017-06-20,4418.95416666667
2017-06-21,4973.06666666667
2017-06-22,5042.62916666667
2017-06-23,4874.025
2017-06-24,4951.96666666667
2017-06-25,5059.24166666667
2017-06-26,5834.63333333333
2017-06-27,7590.69583333333
2017-06-28,7146.44166666667
2017-06-29,6188.68333333333
2017-06-30,5359.24583333333
2017-07-01,4654.6375
2017-07-02,4088.70833333333
2017-07-03,3639.45833333333
2017-07-04,3258.32916666667
2017-07-05,3017.88333333333
2017-07-06,3481.77083333333
2017-07-07,3963.7125
2017-07-08,4123.48333333333
2017-07-09,4268.97083333333
2017-07-10,4286.3125
2017-07-11,4197.275
2017-07-12,4153.77916666667
2017-07-13,3894.8625
2017-07-14,3597.725
2017-07-15,3312.22083333333
2017-07-16,3090.26666666667
2017-07-17,2927.57083333333
2017-07-18,2836.3875
2017-07-19,2824.12083333333
2017-07-20,2764.18333333333
2017-07-21,2673.47916666667
2017-07-22,2655.24583333333
2017-07-23,2871.96666666667
2017-07-24,2957.925
2017-07-25,2860.29583333333
2017-07-26,2730.1625
2017-07-27,2671.01666666667
2017-07-28,2749.05
2017-07-29,4886.74166666667
2017-07-30,5638.86666666667
2017-07-31,9465.22916666667
2017-08-01,16793.2916666667
2017-08-02,13574.375
2017-08-03,10825.9958333333
2017-08-04,8711.99583333333
2017-08-05,7520.49583333333
2017-08-06,7823.49166666667
2017-08-07,7145.55416666667
2017-08-08,6220.4625
2017-08-09,5664.47083333333
2017-08-10,5319.77083333333
2017-08-11,4981.0125
2017-08-12,4800.81666666667
2017-08-13,4503.75416666667
2017-08-14,4038.85833333333
2017-08-15,3670.3
2017-08-16,3349.9375
2017-08-17,3103.15
2017-08-18,2999.9875
2017-08-19,2916.55
2017-08-20,2813.475
2017-08-21,2706.87083333333
2017-08-22,2603.29166666667
2017-08-23,2508.12916666667
2017-08-24,2410.29583333333
2017-08-25,2314.7125
2017-08-26,2212.47083333333
2017-08-27,2123.02083333333
2017-08-28,2051.99166666667
2017-08-29,2046.12916666667
2017-08-30,2046.89583333333
2017-08-31,2003.57916666667
2017-09-01,1969.20833333333
2017-09-02,1948.67916666667
2017-09-03,1903.05416666667
2017-09-04,1831.5
2017-09-05,1799.86666666667
2017-09-06,2045.02083333333
2017-09-07,2206.89583333333
2017-09-08,2171.19166666667
2017-09-09,2106.54166666667
2017-09-10,2054.74166666667
2017-09-11,2038.20833333333
2017-09-12,2067.09166666667
2017-09-13,2158.50833333333
2017-09-14,2197.79166666667
2017-09-15,2203.325
2017-09-16,2194.74583333333
2017-09-17,2148.125
2017-09-18,2107.12083333333
2017-09-19,2086.3875
2017-09-20,2123.1875
2017-09-21,2131.775
2017-09-22,2117.70833333333
