unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-11T05:00:00Z,yesterday,NA,daily average withdrawals,2/12/1999,103.945,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-12T05:00:00Z,yesterday,NA,daily average withdrawals,2/13/1999,102.089,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-13T05:00:00Z,yesterday,NA,daily average withdrawals,2/14/1999,108.563,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-14T05:00:00Z,yesterday,NA,daily average withdrawals,2/15/1999,102.549,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-15T05:00:00Z,yesterday,NA,daily average withdrawals,2/16/1999,95.723,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-16T05:00:00Z,yesterday,NA,daily average withdrawals,2/17/1999,98.192,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-17T05:00:00Z,yesterday,NA,daily average withdrawals,2/18/1999,98.119,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-18T05:00:00Z,yesterday,NA,daily average withdrawals,2/19/1999,96.098,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-19T05:00:00Z,yesterday,NA,daily average withdrawals,2/20/1999,111.824,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-20T05:00:00Z,yesterday,NA,daily average withdrawals,2/21/1999,112.938,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-21T05:00:00Z,yesterday,NA,daily average withdrawals,2/22/1999,95.851,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-22T05:00:00Z,yesterday,NA,daily average withdrawals,2/23/1999,104.765,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-23T05:00:00Z,yesterday,NA,daily average withdrawals,2/24/1999,99.704,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-24T05:00:00Z,yesterday,NA,daily average withdrawals,2/25/1999,104.989,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-25T05:00:00Z,yesterday,NA,daily average withdrawals,2/26/1999,98.351,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-26T05:00:00Z,yesterday,NA,daily average withdrawals,2/27/1999,115.473,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-27T05:00:00Z,yesterday,NA,daily average withdrawals,2/28/1999,98.934,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-02-28T05:00:00Z,yesterday,NA,daily average withdrawals,3/1/1999,101.438,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-01T05:00:00Z,yesterday,NA,daily average withdrawals,3/2/1999,109.526,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-02T05:00:00Z,yesterday,NA,daily average withdrawals,3/3/1999,91.21,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-03T05:00:00Z,yesterday,NA,daily average withdrawals,3/4/1999,103.436,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-04T05:00:00Z,yesterday,NA,daily average withdrawals,3/5/1999,109.48,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-05T05:00:00Z,yesterday,NA,daily average withdrawals,3/6/1999,114.521,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-06T05:00:00Z,yesterday,NA,daily average withdrawals,3/7/1999,113.17,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-07T05:00:00Z,yesterday,NA,daily average withdrawals,3/8/1999,124.321,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-08T05:00:00Z,yesterday,NA,daily average withdrawals,3/9/1999,101.109,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-09T05:00:00Z,yesterday,NA,daily average withdrawals,3/10/1999,126.078,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-10T05:00:00Z,yesterday,NA,daily average withdrawals,3/11/1999,109.096,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-11T05:00:00Z,yesterday,NA,daily average withdrawals,3/12/1999,121.572,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-12T05:00:00Z,yesterday,NA,daily average withdrawals,3/13/1999,121.66,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-13T04:00:00Z,yesterday,NA,daily average withdrawals,3/14/1999,130.039,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-14T04:00:00Z,yesterday,NA,daily average withdrawals,3/15/1999,107.839,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-15T04:00:00Z,yesterday,NA,daily average withdrawals,3/16/1999,111.329,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-16T04:00:00Z,yesterday,NA,daily average withdrawals,3/17/1999,127.095,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-17T04:00:00Z,yesterday,NA,daily average withdrawals,3/18/1999,131.872,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-18T04:00:00Z,yesterday,NA,daily average withdrawals,3/19/1999,123.269,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-19T04:00:00Z,yesterday,NA,daily average withdrawals,3/20/1999,140.341,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-20T04:00:00Z,yesterday,NA,daily average withdrawals,3/21/1999,149.69,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-21T04:00:00Z,yesterday,NA,daily average withdrawals,3/22/1999,155.369,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-22T04:00:00Z,yesterday,NA,daily average withdrawals,3/23/1999,119.028,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-23T04:00:00Z,yesterday,NA,daily average withdrawals,3/24/1999,110.488,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-24T04:00:00Z,yesterday,NA,daily average withdrawals,3/25/1999,105.978,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-25T04:00:00Z,yesterday,NA,daily average withdrawals,3/26/1999,99.735,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-26T04:00:00Z,yesterday,NA,daily average withdrawals,3/27/1999,109.395,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-27T04:00:00Z,yesterday,NA,daily average withdrawals,3/28/1999,93.738,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-28T04:00:00Z,yesterday,NA,daily average withdrawals,3/29/1999,120.217,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-29T04:00:00Z,yesterday,NA,daily average withdrawals,3/30/1999,115.601,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-30T04:00:00Z,yesterday,NA,daily average withdrawals,3/31/1999,134.519,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-03-31T04:00:00Z,yesterday,NA,daily average withdrawals,4/1/1999,130.829,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-01T04:00:00Z,yesterday,NA,daily average withdrawals,4/2/1999,105.444,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-02T04:00:00Z,yesterday,NA,daily average withdrawals,4/3/1999,98.858,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-03T04:00:00Z,yesterday,NA,daily average withdrawals,4/4/1999,118.143,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-04T04:00:00Z,yesterday,NA,daily average withdrawals,4/5/1999,104.899,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-05T04:00:00Z,yesterday,NA,daily average withdrawals,4/6/1999,115.574,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-06T04:00:00Z,yesterday,NA,daily average withdrawals,4/7/1999,101.582,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-07T04:00:00Z,yesterday,NA,daily average withdrawals,4/8/1999,92.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-08T04:00:00Z,yesterday,NA,daily average withdrawals,4/9/1999,110.748,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-09T04:00:00Z,yesterday,NA,daily average withdrawals,4/10/1999,102.342,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-10T04:00:00Z,yesterday,NA,daily average withdrawals,4/11/1999,96.763,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-11T04:00:00Z,yesterday,NA,daily average withdrawals,4/12/1999,116.702,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-12T04:00:00Z,yesterday,NA,daily average withdrawals,4/13/1999,116.203,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-13T04:00:00Z,yesterday,NA,daily average withdrawals,4/14/1999,111.106,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-14T04:00:00Z,yesterday,NA,daily average withdrawals,4/15/1999,114.261,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-15T04:00:00Z,yesterday,NA,daily average withdrawals,4/16/1999,112.834,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-16T04:00:00Z,yesterday,NA,daily average withdrawals,4/17/1999,127.7,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-17T04:00:00Z,yesterday,NA,daily average withdrawals,4/18/1999,116.703,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-18T04:00:00Z,yesterday,NA,daily average withdrawals,4/19/1999,122.376,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-19T04:00:00Z,yesterday,NA,daily average withdrawals,4/20/1999,117.178,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-20T04:00:00Z,yesterday,NA,daily average withdrawals,4/21/1999,116.399,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-21T04:00:00Z,yesterday,NA,daily average withdrawals,4/22/1999,94.086,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-22T04:00:00Z,yesterday,NA,daily average withdrawals,4/23/1999,116.801,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-23T04:00:00Z,yesterday,NA,daily average withdrawals,4/24/1999,116.781,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-24T04:00:00Z,yesterday,NA,daily average withdrawals,4/25/1999,108.468,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-25T04:00:00Z,yesterday,NA,daily average withdrawals,4/26/1999,121.538,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-26T04:00:00Z,yesterday,NA,daily average withdrawals,4/27/1999,128.198,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-27T04:00:00Z,yesterday,NA,daily average withdrawals,4/28/1999,129.546,MGD,
