dayofyear,wa_greatfalls,wa_littlefalls,fw_potomac_prod,fw_griffith_prod,wssc_potomac_prod,wssc_patuxent_prod
224,172,20,113,74,139,51
225,171,21,113,74,139,51
226,170,22,113,74,138,51
227,168,24,112,73,137,51
228,168,24,113,73,137,52
229,168,25,113,73,137,52
230,167,25,113,73,137,52
231,166,25,112,72,137,52
232,165,26,111,72,136,52
233,166,25,111,72,136,51
234,167,23,110,71,136,51
235,166,23,110,71,136,51
236,167,21,110,70,136,51
237,168,20,109,70,136,51
238,169,19,109,70,136,51
239,168,19,109,70,136,51
240,169,17,107,70,136,50
241,170,15,106,69,136,50
242,172,14,106,69,136,50
243,172,13,105,69,135,50
244,172,12,105,69,135,51
245,172,11,104,69,134,50
246,172,10,104,69,135,50
247,172,10,104,69,134,50
248,171,9,103,68,135,49
249,172,8,103,68,134,49
250,171,9,104,68,135,48
251,169,10,104,68,135,48
252,168,10,105,68,134,48
253,166,12,105,68,135,48
254,164,14,105,68,135,48
255,162,16,104,69,136,49
256,160,18,103,68,135,49
257,157,21,102,68,135,49
258,155,23,102,68,134,49
259,153,25,101,68,133,49
260,152,27,100,68,132,49
261,151,28,99,68,133,48
262,150,28,99,67,132,48
263,150,27,99,67,132,48
264,151,26,99,66,131,48
265,151,25,99,66,131,48
266,152,24,100,66,131,47
267,154,23,100,66,131,47
268,155,21,100,65,132,47
269,157,19,100,65,132,46
270,158,17,100,65,132,46
271,159,16,99,65,131,46
272,159,15,97,65,130,46
273,159,14,97,65,129,46
274,158,15,97,65,129,46
275,159,14,96,64,128,46
276,159,13,96,64,128,46
277,159,12,95,63,127,46
278,158,12,95,63,127,46
279,158,13,95,63,126,46
280,156,14,95,62,125,47
281,156,14,95,62,125,46
282,156,14,95,62,126,46
283,155,14,95,61,125,46
284,155,13,95,61,125,46
285,155,13,94,61,125,46
286,155,13,94,60,124,46
287,154,12,93,60,124,46
288,153,12,92,60,123,46
289,152,11,92,60,123,46
290,153,11,91,60,123,46
291,152,11,91,59,122,46
292,152,11,90,59,122,46
293,152,11,90,59,122,46
294,152,11,89,59,121,46
295,152,11,89,58,121,46
296,151,11,89,58,120,46
297,151,11,89,58,120,45
298,151,11,88,58,120,45
299,151,11,87,57,119,45
300,150,11,87,57,119,45
301,151,10,86,57,119,45
302,151,11,85,57,120,45
303,150,10,85,57,120,45
304,150,11,84,57,120,45
305,149,11,83,57,120,45
306,148,12,82,57,119,45
307,148,12,82,57,119,45
308,148,12,82,57,119,45
309,148,12,81,57,119,46
310,148,12,81,57,118,46
311,147,12,81,56,118,46
312,147,12,81,56,117,46
313,146,12,81,56,117,47
314,147,12,81,56,116,47
315,147,11,81,57,116,47
316,148,10,80,57,116,47
317,148,10,80,57,116,47
318,148,10,80,56,116,46
319,148,10,79,56,116,46
320,148,10,79,56,116,46
321,148,10,78,56,116,46
322,148,10,78,56,115,46
323,149,10,77,56,115,46
324,148,11,77,56,115,46
325,148,11,77,56,115,46
326,147,11,77,57,115,46
327,147,11,76,57,115,45
328,146,11,76,57,115,46
329,146,11,76,57,115,45
330,144,11,75,58,115,45
331,144,11,75,58,115,45
332,142,10,75,58,116,44
333,141,11,74,58,116,44
334,140,11,74,58,117,43
335,140,10,74,58,117,43
336,140,10,74,58,117,43
337,141,9,74,58,116,43
338,142,9,73,57,116,43
339,143,9,73,57,116,43
340,144,8,74,57,116,44
341,146,8,74,57,116,44
342,146,8,74,56,116,44
343,148,7,74,56,116,44
344,150,6,75,56,116,44
345,150,6,75,56,116,44
346,151,6,75,56,116,44
347,150,7,75,56,116,44
348,149,8,75,56,116,44
349,149,8,75,56,116,45
350,149,8,75,56,116,45
351,149,8,75,56,116,45
352,150,7,75,56,116,45
353,149,7,75,57,116,45
354,149,7,75,57,116,45
355,149,7,75,57,116,45
356,148,6,75,57,116,45
357,148,5,75,57,116,44
358,148,4,75,57,116,45
359,146,5,74,57,117,45
360,144,5,74,57,116,45
361,143,4,73,57,116,44
362,141,5,73,56,115,45
363,141,5,73,56,115,45
364,140,5,73,56,115,45
365,140,5,73,56,115,45
366,139,6,73,56,116,45
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
