unique_id,supplier,location,day,time,measurement,today,value,units
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-22,137.218,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-23,130.077,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-24,144.066,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-25,128.447,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-26,128.417,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-27,144.854,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-28,148.753,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-29,132.313,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-06-30,146.41,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-01,141.86,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-02,134.05,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-03,130.634,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-04,138.544,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-05,150.664,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-06,131.525,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-07,138.078,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-08,137.662,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-09,145.832,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-10,153.279,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-11,156.33,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-12,164.959,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-13,153.248,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-14,159.223,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-15,151.171,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-16,138.833,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-17,159.242,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-18,165.245,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-19,144.924,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-20,146.257,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-21,172.865,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-22,166.822,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-23,157.443,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-24,129.36,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-25,142.52,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-26,141.27,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-27,146.28,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-28,142.48,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-29,138.22,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-30,100.63,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-07-31,113.83,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-01,131.95,MGD
