agency,site,date_time,flow,comments
USGS,conoco,2017-08-30T00:00:00Z,227,
USGS,conoco,2017-08-31T00:00:00Z,226,
USGS,conoco,2017-09-01T00:00:00Z,211,
USGS,conoco,2017-09-02T00:00:00Z,207,
USGS,conoco,2017-09-03T00:00:00Z,223,
USGS,conoco,2017-09-04T00:00:00Z,225,
USGS,conoco,2017-09-05T00:00:00Z,224,
USGS,conoco,2017-09-06T00:00:00Z,357,
USGS,conoco,2017-09-07T00:00:00Z,355,
USGS,conoco,2017-09-08T00:00:00Z,292,
USGS,conoco,2017-09-09T00:00:00Z,237,
USGS,conoco,2017-09-10T00:00:00Z,211,
USGS,conoco,2017-09-11T00:00:00Z,200,
USGS,conoco,2017-09-12T00:00:00Z,193,
USGS,conoco,2017-09-13T00:00:00Z,188,
USGS,conoco,2017-09-14T00:00:00Z,183,
USGS,conoco,2017-09-15T00:00:00Z,178,
USGS,conoco,2017-09-16T00:00:00Z,173,
USGS,conoco,2017-09-17T00:00:00Z,166,
USGS,conoco,2017-09-18T00:00:00Z,163,
USGS,conoco,2017-09-19T00:00:00Z,160,
USGS,conoco,2017-09-20T00:00:00Z,153,
USGS,conoco,2017-09-21T00:00:00Z,156,
USGS,conoco,2017-09-22T00:00:00Z,144,
USGS,conoco,2017-09-23T00:00:00Z,138,
USGS,conoco,2017-09-24T00:00:00Z,133,
USGS,conoco,2017-09-25T00:00:00Z,121,
USGS,conoco,2017-09-26T00:00:00Z,129,
USGS,conoco,2017-09-27T00:00:00Z,123,
USGS,conoco,2017-09-28T00:00:00Z,119,
USGS,conoco,2017-09-29T00:00:00Z,115,
USGS,conoco,2017-09-30T00:00:00Z,115,
USGS,conoco,2017-10-01T00:00:00Z,113,
USGS,conoco,2017-10-02T00:00:00Z,115,
USGS,conoco,2017-10-03T00:00:00Z,116,
USGS,conoco,2017-10-04T00:00:00Z,114,
USGS,conoco,2017-10-05T00:00:00Z,113,
USGS,conoco,2017-10-06T00:00:00Z,112,
USGS,conoco,2017-10-07T00:00:00Z,112,
USGS,conoco,2017-10-08T00:00:00Z,111,
USGS,conoco,2017-10-09T00:00:00Z,165,
USGS,conoco,2017-10-10T00:00:00Z,343,
USGS,conoco,2017-10-11T00:00:00Z,272,
USGS,conoco,2017-10-12T00:00:00Z,643,
USGS,conoco,2017-10-13T00:00:00Z,657,
USGS,conoco,2017-10-14T00:00:00Z,395,
USGS,conoco,2017-10-15T00:00:00Z,305,
USGS,conoco,2017-10-16T00:00:00Z,259,
USGS,conoco,2017-10-17T00:00:00Z,230,
USGS,conoco,2017-10-18T00:00:00Z,211,
USGS,conoco,2017-10-19T00:00:00Z,195,
USGS,conoco,2017-10-20T00:00:00Z,185,
USGS,conoco,2017-10-21T00:00:00Z,176,
USGS,conoco,2017-10-22T00:00:00Z,167,
USGS,conoco,2017-10-23T00:00:00Z,158,
USGS,conoco,2017-10-24T00:00:00Z,217,
USGS,conoco,2017-10-25T00:00:00Z,276,
USGS,conoco,2017-10-26T00:00:00Z,243,
USGS,conoco,2017-10-27T00:00:00Z,199,
USGS,conoco,2017-10-28T00:00:00Z,184,
USGS,conoco,2017-10-29T00:00:00Z,352,
